team_api_id,buildUpPlaySpeed,buildUpPlaySpeedClass,defencePressure,defencePressureClass
9930,60,Balanced,50,Medium
9930,52,Balanced,47,Medium
9930,47,Balanced,47,Medium
8485,70,Fast,60,Medium
8485,47,Balanced,47,Medium
8485,58,Balanced,40,Medium
8485,62,Balanced,42,Medium
8485,58,Balanced,41,Medium
8485,59,Balanced,49,Medium
8576,60,Balanced,30,Deep
8576,65,Balanced,45,Medium
8576,59,Balanced,38,Medium
8576,59,Balanced,38,Medium
8576,59,Balanced,38,Medium
8576,59,Balanced,38,Medium
8564,45,Balanced,30,Deep
8564,65,Balanced,50,Medium
8564,45,Balanced,45,Medium
8564,48,Balanced,48,Medium
8564,,Balanced,58,Medium
8564,48,Balanced,58,Medium
10215,30,Slow,30,Deep
10215,30,Slow,30,Deep
10215,45,Balanced,52,Medium
10215,45,Balanced,52,Medium
10215,52,Balanced,39,Medium
10215,53,Balanced,39,Medium
10217,30,Slow,30,Deep
10217,53,Balanced,46,Medium
10217,38,Balanced,50,Medium
10217,38,Balanced,50,Medium
10217,58,Balanced,57,Medium
10217,56,Balanced,40,Medium
8593,30,Slow,30,Deep
8593,40,Balanced,65,Medium
8593,31,Slow,68,High
8593,35,Balanced,68,High
8593,40,Balanced,64,Medium
8593,35,Balanced,64,Medium
9865,65,Balanced,70,High
9865,55,Balanced,58,Medium
9865,42,Balanced,37,Medium
9865,46,Balanced,37,Medium
9865,46,Balanced,37,Medium
9865,46,Balanced,37,Medium
8635,50,Balanced,70,High
8635,50,Balanced,70,High
8635,52,Balanced,45,Medium
8635,52,Balanced,60,Medium
8635,52,Balanced,60,Medium
8635,52,Balanced,53,Medium
8121,45,Balanced,30,Deep
8121,65,Balanced,45,Medium
8121,50,Balanced,44,Medium
8121,50,Balanced,44,Medium
8121,48,Balanced,44,Medium
8121,48,Balanced,44,Medium
8322,,Slow,65,Medium
8322,46,Balanced,47,Medium
108893,50,Balanced,30,Deep
108893,50,Balanced,25,Deep
108893,23,Slow,44,Medium
108893,41,Balanced,39,Medium
108893,39,Balanced,44,Medium
108893,56,Balanced,48,Medium
9912,40,Balanced,45,Medium
9912,46,Balanced,38,Medium
9912,62,Balanced,36,Medium
158085,69,Fast,35,Medium
158085,65,Balanced,37,Medium
9825,66,Balanced,30,Deep
9825,75,Fast,50,Medium
9825,25,Slow,57,Medium
9825,30,Slow,64,Medium
9825,59,Balanced,51,Medium
9825,,Balanced,51,Medium
10252,70,Fast,30,Deep
10252,65,Balanced,35,Medium
10252,67,Fast,43,Medium
10252,63,Balanced,39,Medium
10252,66,Balanced,39,Medium
10252,63,Balanced,35,Medium
8524,35,Balanced,30,Deep
8524,65,Balanced,45,Medium
8524,40,Balanced,55,Medium
8524,64,Balanced,54,Medium
8524,64,Balanced,36,Medium
8524,64,Balanced,36,Medium
8315,60,Balanced,30,Deep
8315,70,Fast,48,Medium
8315,42,Balanced,37,Medium
8315,46,Balanced,37,Medium
8315,46,Balanced,37,Medium
8315,46,Balanced,49,Medium
9906,64,Balanced,70,High
9906,57,Balanced,58,Medium
9906,,Balanced,52,Medium
9906,47,Balanced,52,Medium
9906,47,Balanced,52,Medium
9906,57,Balanced,49,Medium
8406,45,Balanced,45,Medium
8406,68,Fast,59,Medium
8406,55,Balanced,47,Medium
8406,40,Balanced,33,Deep
8406,62,Balanced,47,Medium
8406,59,Balanced,34,Medium
8583,30,Slow,30,Deep
8583,35,Balanced,35,Medium
8583,64,Balanced,34,Medium
8583,64,Balanced,34,Medium
8583,64,Balanced,34,Medium
8583,64,Balanced,34,Medium
