team_api_id,team_long_name
10219,RKC Waalwijk
9839,VVV-Venlo
10218,Excelsior
6413,PEC Zwolle
7788,SC Cambuur
6433,Go Ahead Eagles
6631,FC Dordrecht
10265,Wisła Kraków
8031,Polonia Bytom
8020,Polonia Bytom
1601,Ruch Chorzów
8673,Legia Warszawa
2183,P. Warszawa
8025,Śląsk Wrocław
8030,Lechia Gdańsk
8244,Widzew Łódź
8242,Odra Wodzisław
2182,Lech Poznań
8569,GKS Bełchatów
8322,Arka Gdynia
1957,Jagiellonia Białystok
8028,Piast Gliwice
2186,Cracovia
8245,Korona Kielce
8021,Zagłębie Lubin
8024,Widzew Łódź
8033,Podbeskidzie Bielsko-Biała
8023,Pogoń Szczecin
8027,Zawisza Bydgoszcz
8019,Górnik Łęczna
177361,Termalica Bruk-Bet Nieciecza
9773,FC Porto
9807,CF Os Belenenses
9768,Sporting CP
7992,Trofense
7844,Vitória Guimarães
10238,Vitória Setúbal
6403,FC Paços de Ferreira
10264,SC Braga
10213,Amadora
10215,Académica de Coimbra
7841,Rio Ave FC
9772,SL Benfica
6421,Leixões SC
10214,CD Nacional
9809,Naval 1° de Maio
10212,CS Marítimo
9771,"União de Leiria, SAD"
2033,S.C. Olhanense
9765,Portimonense
10211,SC Beira Mar
4064,Feirense
9764,Gil Vicente FC
8348,Moreirense FC
7842,Estoril Praia
158085,FC Arouca
6547,FC Penafiel
8613,Boavista FC
6367,Uniao da Madeira
188163,Tondela
8596,Falkirk
8548,Rangers
9860,Heart of Midlothian
9927,Motherwell
8597,Kilmarnock
10251,Hibernian
8485,Aberdeen
8066,Inverness Caledonian Thistle
9925,Celtic
9800,St. Mirren
8429,Hamilton Academical FC
9938,Dundee United
8467,St. Johnstone FC
8457,Dunfermline Athletic
8284,Dundee FC
8649,Ross County FC
8426,Partick Thistle F.C.
10267,Valencia CF
8661,RCD Mallorca
8371,CA Osasuna
10205,Villarreal CF
9783,RC Deportivo de La Coruña
8633,Real Madrid CF
8388,CD Numancia
8634,FC Barcelona
8696,Racing Santander
8302,Sevilla FC
9869,Real Sporting de Gijón
8305,Getafe CF
8603,Real Betis Balompié
8479,RC Recreativo
8558,RCD Espanyol
10281,Real Valladolid
8315,Athletic Club de Bilbao
9865,UD Almería
9906,Atlético Madrid
9864,"Málaga CF"
9868,Xerez Club Deportivo
8394,Real Zaragoza
9867,CD Tenerife
10278,Hércules Club de Fútbol
8581,Levante UD
8560,Real Sociedad
7878,Granada CF
8370,Rayo Vallecano
9910,RC Celta de Vigo
10268,Elche CF
8372,SD Eibar
7869,Córdoba CF
8306,UD Las Palmas
9956,Grasshopper Club Zürich
6493,AC Bellinzona
10192,BSC Young Boys
9931,FC Basel
9930,FC Aarau
10179,FC Sion
10199,FC Luzern
9824,FC Vaduz
7955,Neuchâtel Xamax
10243,FC Zürich
10190,FC St. Gallen
10191,FC Thun
9777,Servette FC
7730,FC Lausanne-Sports
7896,Lugano
